 point#   1   Q1 =    0.0 Q2 =   60.0 Qother = 0.0 Energy =   8.35 kcal/mol
 O      1.64727526     0.04867739     0.10846758
 O     -0.06349376    -1.64753589    -0.10847020
 O      0.06349796     1.64753116    -0.10846690
 C     -1.24285379    -1.26085579    -0.00000285
 C      1.24285807     1.26085142     0.00000139
 point#  18   Q1 =   20.0 Q2 =   80.0 Qother = 0.0 Energy =   5.58 kcal/mol
 H     -2.03893229    -2.00957936    -0.00000256
 H      2.03893627     2.00957530     0.00000422
 H      0.89147259    -0.66176313    -0.00000196
 H     -0.89146761     0.66175806    -0.00000198
 O     -1.64727032    -0.04868221     0.12395867
 O      1.64727559     0.04867723     0.12396295
 O     -0.06349329    -1.64753621    -0.12396594
 O      0.06349811     1.64753082    -0.12396218
 C     -1.24285336    -1.26085623    -0.00000325
 C      1.24285826     1.26085122     0.00000158
 point#  19   Q1 =   20.0 Q2 =   90.0 Qother = 0.0 Energy =   5.65 kcal/mol
 H     -2.03893181    -2.00957985    -0.00000289
 H      2.03893636     2.00957521     0.00000475
 H      0.89147297    -0.66176336    -0.00000220
 H     -0.89146738     0.66175766    -0.00000222
 O     -1.64727000    -0.04868269     0.13945351
 O      1.64727591     0.04867708     0.13945831
 O     -0.06349282    -1.64753654    -0.13946168
 O      0.06349826     1.64753049    -0.13945745
 C     -1.24285294    -1.26085666    -0.00000366
 C      1.24285845     1.26085102     0.00000178
 point#  20   Q1 =   20.0 Q2 =  100.0 Qother = 0.0 Energy =   5.76 kcal/mol
 H     -2.03893133    -2.00958034    -0.00000321
 H      2.03893645     2.00957512     0.00000528
 H      0.89147336    -0.66176359    -0.00000245
 H     -0.89146714     0.66175727    -0.00000247
 O     -1.64726968    -0.04868316     0.15494834
 O      1.64727623     0.04867692     0.15495368
 O     -0.06349235    -1.64753686    -0.15495742
 O      0.06349841     1.64753016    -0.15495272
 C     -1.24285251    -1.26085710    -0.00000407
 C      1.24285864     1.26085082     0.00000198
 point#  21   Q1 =   20.0 Q2 =  110.0 Qother = 0.0 Energy =   5.92 kcal/mol
 H     -2.03893084    -2.00958083    -0.00000353
 H      2.03893654     2.00957502     0.00000581
 H      0.89147374    -0.66176383    -0.00000269
 H     -0.89146691     0.66175687    -0.00000272
 O     -1.64726937    -0.04868364     0.17044317
 O      1.64727656     0.04867676     0.17044905
 O     -0.06349188    -1.64753718    -0.17045317
 O      0.06349856     1.64752983    -0.17044800
 C     -1.24285208    -1.26085754    -0.00000447
 C      1.24285883     1.26085063     0.00000218
 point#  22   Q1 =   20.0 Q2 =  120.0 Qother = 0.0 Energy =   6.15 kcal/mol
 H     -2.03893036    -2.00958133    -0.00000385
 H      2.03893662     2.00957493     0.00000633
 H      0.89147412    -0.66176406    -0.00000293
 H     -0.89146668     0.66175648    -0.00000296
 O     -1.64726905    -0.04868412     0.18593801
 O      1.64727688     0.04867661     0.18594442
 O     -0.06349141    -1.64753751    -0.18594891
 O      0.06349871     1.64752949    -0.18594327
 C     -1.24285165    -1.26085798    -0.00000488
 C      1.24285903     1.26085043     0.00000237
 point#  23   Q1 =   20.0 Q2 =  130.0 Qother = 0.0 Energy =   6.44 kcal/mol
 H     -2.03892988    -2.00958182    -0.00000417
 H      2.03893671     2.00957483     0.00000686
 H      0.89147450    -0.66176429    -0.00000318
 H     -0.89146644     0.66175608    -0.00000321
 O     -1.64726873    -0.04868460     0.20143284
 O      1.64727720     0.04867645     0.20143979
 O     -0.06349094    -1.64753783    -0.20144465
 O      0.06349886     1.64752916    -0.20143855
 C     -1.24285122    -1.26085842    -0.00000528
 C      1.24285922     1.26085023     0.00000257
 point#  24   Q1 =   20.0 Q2 =  140.0 Qother = 0.0 Energy =   6.81 kcal/mol
 H     -2.03892940    -2.00958231    -0.00000449
 H      2.03893680     2.00957474     0.00000739
 H      0.89147489    -0.66176452    -0.00000342
 H     -0.89146621     0.66175569    -0.00000346
 O     -1.64726841    -0.04868507     0.21692767
 O      1.64727753     0.04867630     0.21693516
 O     -0.06349047    -1.64753816    -0.21694039
 O      0.06349901     1.64752883    -0.21693382
 C     -1.24285079    -1.26085885    -0.00000569
 C      1.24285941     1.26085004     0.00000277
 point#  25   Q1 =   20.0 Q2 =  150.0 Qother = 0.0 Energy =   7.28 kcal/mol
 H     -2.03892892    -2.00958280    -0.00000481
 H      2.03893689     2.00957465     0.00000792
 H      0.89147527    -0.66176475    -0.00000366
 H     -0.89146597     0.66175529    -0.00000370
 O     -1.64726810    -0.04868555     0.23242251
 O      1.64727785     0.04867614     0.23243053
 O     -0.06349000    -1.64753848    -0.23243613
 O      0.06349916     1.64752850    -0.23242909
 C     -1.24285036    -1.26085929    -0.00000610
 C      1.24285960     1.26084984     0.00000297
 point#  26   Q1 =   20.0 Q2 =  160.0 Qother = 0.0 Energy =   7.86 kcal/mol
 H     -2.03892843    -2.00958329    -0.00000513
 H      2.03893698     2.00957455     0.00000845
 H      0.89147565    -0.66176498    -0.00000391
 H     -0.89146574     0.66175490    -0.00000395
 O     -1.64726778    -0.04868603     0.24791734
 O      1.64727817     0.04867598     0.24792590
 O     -0.06348953    -1.64753880    -0.24793187
 O      0.06349931     1.64752816    -0.24792437
 C     -1.24284993    -1.26085973    -0.00000650
 C      1.24285979     1.26084964     0.00000316
 point#  27   Q1 =   20.0 Q2 =  170.0 Qother = 0.0 Energy =   8.55 kcal/mol
 H     -2.03892795    -2.00958379    -0.00000545
 H      2.03893707     2.00957446     0.00000898
 H      0.89147603    -0.66176521    -0.00000415
 H     -0.89146551     0.66175450    -0.00000420
 O     -1.64726746    -0.04868651     0.26341217
 O      1.64727850     0.04867583     0.26342127
 O     -0.06348906    -1.64753913    -0.26342761
 O      0.06349946     1.64752783    -0.26341964
 C     -1.24284950    -1.26086017    -0.00000691
 C      1.24285998     1.26084944     0.00000336
 point#  28   Q1 =   20.0 Q2 =  180.0 Qother = 0.0 Energy =   9.38 kcal/mol
 H     -2.03892747    -2.00958428    -0.00000577
 H      2.03893716     2.00957436     0.00000950
 H      0.89147642    -0.66176545    -0.00000439
 H     -0.89146527     0.66175410    -0.00000444
 O     -1.64726714    -0.04868698     0.27890700
 O      1.64727882     0.04867567     0.27891664
 O     -0.06348859    -1.64753945    -0.27892336
 O      0.06349960     1.64752750    -0.27891492
 C     -1.24284908    -1.26086060    -0.00000732
 C      1.24286017     1.26084925     0.00000356
 point#  29   Q1 =   20.0 Q2 =  190.0 Qother = 0.0 Energy =  10.35 kcal/mol
 H     -2.03892699    -2.00958477    -0.00000610
 H      2.03893725     2.00957427     0.00001003
 H      0.89147680    -0.66176568    -0.00000464
 H     -0.89146504     0.66175371    -0.00000469
 O     -1.64726683    -0.04868746     0.29440184
 O      1.64727914     0.04867551     0.29441200
 O     -0.06348812    -1.64753977    -0.29441910
 O      0.06349975     1.64752717    -0.29441019
 C     -1.24284865    -1.26086104    -0.00000772
 C      1.24286036     1.26084905     0.00000376
 point#  30   Q1 =   20.0 Q2 =  200.0 Qother = 0.0 Energy =  11.47 kcal/mol
 H     -2.03892650    -2.00958526    -0.00000642
 H      2.03893734     2.00957418     0.00001056
 H      0.89147718    -0.66176591    -0.00000488
 H     -0.89146480     0.66175331    -0.00000494
 O     -1.64726651    -0.04868794     0.30989667
 O      1.64727947     0.04867536     0.30990737
 O     -0.06348765    -1.64754010    -0.30991484
 O      0.06349990     1.64752683    -0.30990546
 C     -1.24284822    -1.26086148    -0.00000813
 C      1.24286055     1.26084885     0.00000395
 point#  31   Q1 =   40.0 Q2 =   60.0 Qother = 0.0 Energy =  24.09 kcal/mol
 H     -2.05361361    -1.99489800    -0.00000192
 H      2.05361585     1.99489575     0.00000316
 H      1.00632598    -0.54690857    -0.00000148
 H     -1.00632218     0.54690470    -0.00000148
 O     -1.64714058    -0.04127193     0.09296902
 O      1.64714470     0.04126832     0.09297220
 O     -0.07090357    -1.64766595    -0.09297447
 O      0.07090703     1.64766173    -0.09297161
 C     -1.23385625    -1.26985331    -0.00000244
 C      1.23385985     1.26984964     0.00000119
 point#  32   Q1 =   40.0 Q2 =   70.0 Qother = 0.0 Energy =  23.51 kcal/mol
 H     -2.05361312    -1.99489849    -0.00000224
 H      2.05361594     1.99489565     0.00000369
 H      1.00632636    -0.54690880    -0.00000172
 H     -1.00632195     0.54690430    -0.00000173
 O     -1.64714026    -0.04127241     0.10846385
 O      1.64714503     0.04126817     0.10846757
 O     -0.07090310    -1.64766627    -0.10847021
 O      0.07090717     1.64766140    -0.10846689
 C     -1.23385582    -1.26985374    -0.00000285
 C      1.23386004     1.26984944     0.00000139
 point#  33   Q1 =   40.0 Q2 =   80.0 Qother = 0.0 Energy =  22.88 kcal/mol
 H     -2.05361264    -1.99489898    -0.00000256
 H      2.05361602     1.99489556     0.00000422
 H      1.00632674    -0.54690903    -0.00000197
 H     -1.00632171     0.54690391    -0.00000198
 O     -1.64713994    -0.04127289     0.12395868
 O      1.64714535     0.04126801     0.12396294
 O     -0.07090263    -1.64766660    -0.12396595
 O      0.07090732     1.64766107    -0.12396216
 C     -1.23385539    -1.26985418    -0.00000325
 C      1.23386023     1.26984924     0.00000159
 point#  34   Q1 =   40.0 Q2 =   90.0 Qother = 0.0 Energy =  22.21 kcal/mol
 H     -2.05361216    -1.99489947    -0.00000288
 H      2.05361611     1.99489546     0.00000474
 H      1.00632712    -0.54690926    -0.00000221
 H     -1.00632148     0.54690351    -0.00000223
 O     -1.64713962    -0.04127337     0.13945352
 O      1.64714567     0.04126786     0.13945831
 O     -0.07090216    -1.64766692    -0.13946169
 O      0.07090747     1.64766074    -0.13945744
 C     -1.23385496    -1.26985462    -0.00000366
 C      1.23386042     1.26984905     0.00000178
